date,rain(mm) in BEER MENUHA KM 101.csv 
1958-1959,17.0
1959-1960,9.0
1960-1961,27.0
1961-1962,48.0
1962-1963,27.0
1963-1964,37.0
1964-1965,75.0
1965-1966,34.0
1966-1967,26.0
1967-1968,40.0
1968-1969,65.0
1969-1970,0.0
1970-1971,45.0
1971-1972,57.0
1972-1973,14.0
1973-1974,33.0
1974-1975,87.0
1975-1976,46.0
1976-1977,14.0
1977-1978,20.5
1978-1979,28.0
1979-1980,23.0
1980-1981,51.0
1981-1982,18.0
1982-1983,47.0
1983-1984,3.0
1984-1985,18.0
1985-1986,59.0
1986-1987,26.0
1987-1988,21.0
1988-1989,36.0
1989-1990,37.0
1990-1991,43.0
1991-1992,30.0
1992-1993,18.0
1993-1994,62.0
1994-1995,70.0
1995-1996,21.0
1996-1997,34.0
1997-1998,47.0
1998-1999,19.0
1999-2000,2.0
2000-2001,24.0
2001-2002,6.0
2002-2003,6.0
2003-2004,26.0
2004-2005,22.0
2005-2006,12.0
2006-2007,25.0
2007-2008,22.0
2008-2009,25.0
2009-2010,50.0
2010-2011,22.0
2011-2012,8.0
2012-2013,22.0
2013-2014,77.0
2014-2015,27.0
2015-2016,44.0
2016-2017,36.5
2017-2018,23.5
2018-2019,29.5
2019-2020,116.5
2020-2021,5.5
2021-2022,16.0
